DynaTAC 8000X Keylogger
-----------------------

time (ms) : key

342 : 4
708 : 4
1045 : 4
2600 : 8
4172 : 7
4489 : 7
4826 : 7
5180 : 7
6644 : 8
8218 : 6
8592 : 6
8966 : 6
10502 : 6
10821 : 6
11954 : BACKSPACE
13470 : 6
13883 : 6
14220 : 6
15770 : 2
16179 : 2
17785 : 2
19230 : 3
20741 : 8
22231 : 3
23479 : BACKSPACE
24903 : 3
25279 : 3
26870 : 9
27223 : 9
28794 : 8
30251 : 4
30613 : 4
30959 : 4
32466 : 6
32770 : 6
34346 : 4
35845 : 9
37400 : 2
38885 : 7
39274 : 7
40458 : BACKSPACE
41994 : 7
42320 : 7
43553 : BACKSPACE
45014 : 7
45293 : 7
45588 : 7
45939 : 7
47383 : 6
47665 : 6
49318 : 6
49617 : 6
49909 : 6
51501 : 8
53010 : 3
53344 : 3
54890 : 8
55298 : 8
55701 : 8
57183 : 3
58391 : BACKSPACE
59895 : 3
60269 : 3
61704 : 6
61997 : 6
63626 : 2
65257 : 8
66760 : 4
67135 : 4
68714 : 4
69058 : 4
70312 : BACKSPACE
71870 : 4
72149 : 4
72457 : 4
74060 : 6
74440 : 6
76080 : 4
77690 : 2
78035 : 2
79665 : 2
81151 : 2
81553 : 2
81854 : 2
83312 : 5
83731 : 5
85277 : 8
86730 : 4
87085 : 4
88662 : 3
88984 : 3
90469 : 6
91635 : BACKSPACE
93090 : 6
93392 : 6
94553 : SEND
